"Gene"	"Freq"
"BTBD8"	2
"BTD"	2
"BTF3"	2
"BTG1"	2
"BTG2"	2
"BTG3"	2
"BTK"	2
"BTN1A1"	2
"BTN2A1"	2
"BTN2A3"	2
"BTN3A2"	2
"BTN3A3"	2
"BTNL2"	2
"BTNL8"	2
"BTNL9"	2
"BTRC"	2
"BUB1"	2
"BUB1B"	2
"BUB3"	2
"BXDC1"	2
"BXDC5"	2
"BYSL"	2
"BZRAP1"	2
"BZRP"	2
"BZW1"	2
"BZW2"	2
"C10orf10"	2
"C10orf104"	2
"C10orf11"	2
"C10orf116"	2
"C10orf119"	2
"C10orf125"	2
"C10orf137"	2
"C10orf22"	2
"C10orf26"	2
"C10orf27"	2
"C10orf30"	2
"C10orf32"	2
"C10orf33"	2
"C10orf35"	2
"C10orf39"	2
"C10orf42"	2
"C10orf47"	2
"C10orf56"	2
"C10orf57"	2
"C10orf58"	2
"C10orf59"	2
"C10orf6"	2
"C10orf63"	2
"C10orf7"	2
"C10orf70"	2
"C10orf72"	2
"C10orf77"	2
"C10orf81"	2
"C10orf82"	2
"C10orf83"	2
"C10orf84"	2
"C10orf86"	2
"C10orf89"	2
"C10orf92"	2
"C10orf93"	2
"C10orf95"	2
"C10orf97"	2
"C10orf99"	2
"C11orf1"	2
"C11orf16"	2
"C11orf17"	2
"C11orf2"	2
"C11orf24"	2
"C11orf30"	2
"C11orf35"	2
"C11orf38"	2
"C11orf39"	2
"C11orf44"	2
"C11orf45"	2
"C11orf46"	2
"C11orf47"	2
"C11orf48"	2
"C11orf49"	2
"C11orf52"	2
"C11orf54"	2
"C11orf56"	2
"C11orf9"	2
"C12orf11"	2
"C12orf12"	2
"C12orf22"	2
"C12orf23"	2
"C12orf30"	2
"C12orf31"	2
"C12orf34"	2
"C12orf38"	2
"C12orf40"	2
"C12orf43"	2
"C12orf44"	2
"C12orf46"	2
"C12orf47"	2
"C12orf48"	2
"C12orf49"	2
"C12orf5"	2
"C12orf52"	2
"C12orf54"	2
"C12orf57"	2
"C12orf58"	2
"C12orf59"	2
"C12orf60"	2
"C12orf62"	2
"C12orf8"	2
"C13orf1"	2
"C13orf10"	2
"C13orf12"	2
"C13orf23"	2
"C13orf25"	2
"C13orf8"	2
"C14orf10"	2
"C14orf101"	2
"C14orf102"	2
"C14orf104"	2
"C14orf105"	2
"C14orf106"	2
"C14orf108"	2
"C14orf11"	2
"C14orf111"	2
"C14orf112"	2
"C14orf115"	2
"C14orf118"	2
"C14orf119"	2
"C14orf122"	2
"C14orf126"	2
"C14orf130"	2
"C14orf132"	2
"C14orf133"	2
"C14orf143"	2
"C14orf147"	2
"C14orf152"	2
"C14orf153"	2
"C14orf156"	2
"C14orf162"	2
"C14orf166"	2
"C14orf166B"	2
"C14orf173"	2
"C14orf2"	2
"C14orf24"	2
"C14orf29"	2
"C14orf32"	2
"C14orf4"	2
"C14orf43"	2
"C14orf44"	2
"C14orf48"	2
"C14orf49"	2
"C14orf50"	2
"C14orf58"	2
"C14orf68"	2
"C14orf8"	2
"C14orf80"	2
"C14orf93"	2
"C14orf94"	2
"C15orf15"	2
"C15orf20"	2
"C15orf24"	2
"C15orf27"	2
"C15orf29"	2
"C15orf32"	2
"C15orf39"	2
"C15orf44"	2
"C15orf48"	2
"C16orf24"	2
"C16orf25"	2
"C16orf28"	2
"C16orf30"	2
"C16orf33"	2
"C16orf34"	2
"C16orf44"	2
"C16orf45"	2
"C16orf46"	2
"C16orf47"	2
